boost_number,base_price,first_boost_amount,penultimate_boost_amount,last_boost_amount,original_driver_supply,penultimate_driver_supply,last_driver_supply,hour_sin,hour_cos,time_to_ride_start,metro_area_DEN,metro_area_DET,metro_area_DFW,metro_area_LAS,metro_area_LAX,metro_area_MCL,metro_area_MSP,metro_area_NYC,metro_area_PDX,metro_area_SDF,metro_area_SFO,metro_area_STL,metro_area_TPA,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6
7,25.0,0.0,1.72,1.67,180,193,200,-0.2588190451025215,0.9659258262890681,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10.0,0.0,0.0,0.0,352,352,352,0.0,1.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,48.5,0.0,1.71,1.63,203,222,187,0.25881904510252074,0.9659258262890683,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,16.0,0.0,0.0,0.0,171,171,171,0.49999999999999994,0.8660254037844387,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
10,25.0,0.0,1.84,1.68,201,286,291,0.7071067811865475,0.7071067811865476,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,12.0,0.0,1.75,1.71,199,159,182,0.8660254037844386,0.5000000000000001,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7,16.0,0.0,1.61,1.74,213,230,194,0.9659258262890683,0.25881904510252074,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,25.0,0.0,1.59,1.67,247,288,212,1.0,6.123233995736766e-17,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7,10.0,0.0,2.01,1.8,166,163,189,0.9659258262890683,-0.25881904510252063,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,48.5,0.0,2.06,1.6,243,221,179,0.8660254037844388,-0.4999999999999998,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,16.0,0.0,0.0,0.0,169,169,169,0.7071067811865476,-0.7071067811865475,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,35.0,0.0,1.74,1.91,308,304,299,0.49999999999999994,-0.8660254037844387,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,25.0,0.0,1.84,1.73,216,171,210,0.258819045102521,-0.9659258262890682,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,16.0,0.0,1.87,1.82,132,152,150,1.2246467991473532e-16,-1.0,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,10.0,0.0,0.0,0.0,677,677,677,-0.2588190451025208,-0.9659258262890683,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,48.5,0.0,2.13,1.61,154,174,160,-0.4999999999999998,-0.8660254037844388,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,16.0,0.0,3.9,1.8,102,128,107,-0.7071067811865471,-0.7071067811865479,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,16.0,0.0,1.61,2.09,155,192,163,-0.8660254037844384,-0.5000000000000004,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,48.5,0.0,0.0,2.33,138,138,101,-0.9659258262890683,-0.25881904510252063,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,35.0,0.0,1.89,1.72,205,299,237,-1.0,-1.8369701987210297e-16,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9,25.0,0.0,1.79,1.69,171,131,143,-0.9659258262890684,0.2588190451025203,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,14.0,0.0,2.0,1.61,247,303,323,-0.8660254037844386,0.5,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,48.5,0.0,1.82,1.87,132,120,109,-0.7071067811865477,0.7071067811865474,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8,16.0,0.0,1.77,1.66,150,120,130,-0.5000000000000004,0.8660254037844384,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,14.0,0.0,0.0,1.67,256,256,249,-0.2588190451025215,0.9659258262890681,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,12.0,0.0,0.0,0.0,149,149,149,0.0,1.0,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,16.0,0.0,1.78,2.19,99,88,76,0.25881904510252074,0.9659258262890683,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,14.0,0.0,2.3,1.8,175,140,129,0.49999999999999994,0.8660254037844387,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,12.0,0.0,1.72,1.61,169,207,215,0.7071067811865475,0.7071067811865476,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,35.0,0.0,1.62,1.53,855,784,785,0.8660254037844386,0.5000000000000001,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,25.0,0.0,1.71,1.79,227,213,201,0.9659258262890683,0.25881904510252074,36.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,16.0,0.0,1.89,1.65,331,342,334,1.0,6.123233995736766e-17,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,25.0,0.0,2.2,1.67,178,161,178,0.9659258262890683,-0.25881904510252063,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,12.0,0.0,1.71,1.63,170,180,138,0.8660254037844388,-0.4999999999999998,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10,25.0,0.0,1.6,1.71,266,336,256,0.7071067811865476,-0.7071067811865475,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,25.0,0.0,0.0,0.0,144,144,144,0.49999999999999994,-0.8660254037844387,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,48.5,0.0,1.6,1.72,649,690,803,0.258819045102521,-0.9659258262890682,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,10.0,0.0,1.63,2.07,93,99,114,1.2246467991473532e-16,-1.0,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,12.0,0.0,0.0,1.82,85,85,115,-0.2588190451025208,-0.9659258262890683,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,25.0,0.0,1.84,2.51,98,128,139,-0.4999999999999998,-0.8660254037844388,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,14.0,0.0,0.0,0.0,348,348,348,-0.7071067811865471,-0.7071067811865479,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,12.0,0.0,1.78,2.7,108,110,89,-0.8660254037844384,-0.5000000000000004,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,10.0,0.0,2.08,1.9,82,96,81,-0.9659258262890683,-0.25881904510252063,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,16.0,0.0,2.15,1.98,172,172,174,-1.0,-1.8369701987210297e-16,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,35.0,0.0,0.0,0.0,96,96,96,-0.9659258262890684,0.2588190451025203,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,25.0,0.0,1.91,1.84,128,112,111,-0.8660254037844386,0.5,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,14.0,0.0,0.0,0.0,144,144,144,-0.7071067811865477,0.7071067811865474,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,10.0,0.0,1.65,1.7,121,120,141,-0.5000000000000004,0.8660254037844384,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,12.0,0.0,0.0,1.54,723,723,703,-0.2588190451025215,0.9659258262890681,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,35.0,0.0,0.0,1.89,284,284,310,0.0,1.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,35.0,0.0,1.78,1.59,603,852,774,0.25881904510252074,0.9659258262890683,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,25.0,0.0,1.81,1.78,173,135,139,0.49999999999999994,0.8660254037844387,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,10.0,0.0,1.56,1.58,825,792,797,0.7071067811865475,0.7071067811865476,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,10.0,0.0,1.97,1.84,258,188,196,0.8660254037844386,0.5000000000000001,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3,14.0,0.0,1.76,1.86,122,129,127,0.9659258262890683,0.25881904510252074,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5,16.0,0.0,1.67,1.85,201,216,154,1.0,6.123233995736766e-17,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,16.0,0.0,0.0,0.0,670,670,670,0.9659258262890683,-0.25881904510252063,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,48.5,0.0,1.83,1.93,153,144,148,0.8660254037844388,-0.4999999999999998,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2,16.0,0.0,1.89,1.58,243,206,214,0.7071067811865476,-0.7071067811865475,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,48.5,0.0,1.76,2.6,107,106,84,0.49999999999999994,-0.8660254037844387,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,35.0,0.0,1.81,1.72,179,136,123,0.258819045102521,-0.9659258262890682,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,35.0,0.0,1.57,1.72,269,296,216,1.2246467991473532e-16,-1.0,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,12.0,0.0,1.85,2.06,190,178,132,-0.2588190451025208,-0.9659258262890683,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8,35.0,0.0,2.0,2.46,102,97,112,-0.4999999999999998,-0.8660254037844388,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,35.0,0.0,1.65,1.75,163,222,177,-0.7071067811865471,-0.7071067811865479,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,10.0,0.0,1.87,2.04,122,132,126,-0.8660254037844384,-0.5000000000000004,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,12.0,0.0,2.17,1.85,105,108,149,-0.9659258262890683,-0.25881904510252063,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6,10.0,0.0,1.76,1.96,138,151,131,-1.0,-1.8369701987210297e-16,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,14.0,0.0,2.55,2.46,89,94,73,-0.9659258262890684,0.2588190451025203,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,48.5,0.0,2.05,1.87,180,156,174,-0.8660254037844386,0.5,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,48.5,0.0,1.98,2.67,106,99,78,-0.7071067811865477,0.7071067811865474,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,14.0,0.0,1.6,2.26,97,100,83,-0.5000000000000004,0.8660254037844384,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,48.5,0.0,1.91,2.29,238,235,199,-0.2588190451025215,0.9659258262890681,36.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
9,12.0,0.0,1.62,2.06,215,179,223,0.0,1.0,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,12.0,0.0,1.61,1.71,255,231,222,0.25881904510252074,0.9659258262890683,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,35.0,0.0,0.0,1.76,219,219,211,0.49999999999999994,0.8660254037844387,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,48.5,0.0,1.87,1.79,133,131,191,0.7071067811865475,0.7071067811865476,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,14.0,0.0,1.67,1.8,232,160,196,0.8660254037844386,0.5000000000000001,36.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,25.0,0.0,1.8,2.11,129,105,111,0.9659258262890683,0.25881904510252074,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,16.0,0.0,2.01,2.57,142,185,175,1.0,6.123233995736766e-17,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6,35.0,0.0,2.25,1.71,182,147,131,0.9659258262890683,-0.25881904510252063,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,16.0,0.0,1.93,2.08,126,125,132,0.8660254037844388,-0.4999999999999998,36.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,14.0,0.0,1.99,1.85,193,207,144,0.7071067811865476,-0.7071067811865475,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,48.5,0.0,1.66,1.69,168,197,166,0.49999999999999994,-0.8660254037844387,36.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6,48.5,0.0,2.05,1.68,175,141,173,0.258819045102521,-0.9659258262890682,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,16.0,0.0,1.57,2.21,162,207,214,1.2246467991473532e-16,-1.0,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,25.0,0.0,0.0,0.0,202,202,202,-0.2588190451025208,-0.9659258262890683,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,48.5,0.0,0.0,1.94,183,183,161,-0.4999999999999998,-0.8660254037844388,36.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9,25.0,0.0,1.66,1.69,149,125,159,-0.7071067811865471,-0.7071067811865479,36.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,10.0,0.0,1.63,1.56,224,274,281,-0.8660254037844384,-0.5000000000000004,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9,12.0,0.0,1.78,2.66,125,113,107,-0.9659258262890683,-0.25881904510252063,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,16.0,0.0,1.67,1.79,243,243,243,-1.0,-1.8369701987210297e-16,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,48.5,0.0,1.76,2.05,139,129,123,-0.9659258262890684,0.2588190451025203,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,25.0,0.0,1.72,1.64,163,177,216,-0.8660254037844386,0.5,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,48.5,0.0,1.65,2.15,139,116,110,-0.7071067811865477,0.7071067811865474,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,12.0,0.0,1.77,1.94,238,240,197,-0.5000000000000004,0.8660254037844384,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8,12.0,0.0,1.83,1.61,218,171,176,-0.2588190451025215,0.9659258262890681,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,10.0,0.0,1.62,2.24,171,129,132,0.0,1.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10,12.0,0.0,1.68,1.76,134,126,139,0.25881904510252074,0.9659258262890683,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,12.0,0.0,2.2,1.79,158,127,141,0.49999999999999994,0.8660254037844387,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,35.0,0.0,1.6,2.2,187,187,160,0.7071067811865475,0.7071067811865476,36.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9,14.0,0.0,1.84,1.6,206,194,206,0.8660254037844386,0.5000000000000001,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,48.5,0.0,1.72,1.79,245,208,195,0.9659258262890683,0.25881904510252074,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,10.0,0.0,0.0,0.0,881,881,881,1.0,6.123233995736766e-17,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,10.0,0.0,1.79,1.76,137,169,177,0.9659258262890683,-0.25881904510252063,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5,16.0,0.0,1.69,1.55,240,224,285,0.8660254037844388,-0.4999999999999998,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9,12.0,0.0,2.39,2.01,196,157,145,0.7071067811865476,-0.7071067811865475,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6,16.0,0.0,2.49,1.89,123,120,152,0.49999999999999994,-0.8660254037844387,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8,35.0,0.0,2.04,2.17,162,132,151,0.258819045102521,-0.9659258262890682,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8,25.0,0.0,2.02,1.95,117,102,96,1.2246467991473532e-16,-1.0,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,12.0,0.0,1.74,1.67,127,133,147,-0.2588190451025208,-0.9659258262890683,36.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4,25.0,0.0,1.67,2.0,171,203,164,-0.4999999999999998,-0.8660254037844388,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,14.0,0.0,0.0,0.0,225,225,225,-0.7071067811865471,-0.7071067811865479,36.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
